"name","type"
"Baune, B. T.","NA"
"Balaban, C.","NA"
"Becerra-Palars, C.","NA"
"Behere, A. P.","NA"
"Behere, P. B.","NA"
"Belete, H.","NA"
"Belete, T.","NA"
"Belizario, G. O.","NA"
"Bellivier, F.","NA"
"Belmaker, R. H.","NA"
"Benedetti, F.","NA"
"Berk, M.","NA"
"Bersudsky, Y.","NA"
"Bicakci, S.","NA"
"Birabwa-Oketcho, H.","NA"
"Bjella, T. D.","NA"
"Brady, C.","NA"
"Cabrera, J.","NA"
"Cappucciati, M.","NA"
"Castro, A. M. P.","NA"
"Chen, W. L.","NA"
"Cheung, E. Y. W.","NA"
"Chiesa, S.","NA"
"Crowe, M.","NA"
"Cuomo, A.","NA"
"Dallaspezia, S.","NA"
"Del Zompo, M.","NA"
"Desai, P.","NA"
"Dodd, S.","NA"
"Etain, B.","NA"
"Fagiolini, A.","NA"
"Fellendorf, F. T.","NA"
"Ferensztajn-Rochowiak, E.","NA"
"Fiedorowicz, J. G.","NA"
"Fountoulakis, K. N.","NA"
"Frye, M. A.","NA"
"Geoffroy, P. A.","NA"
"Gonzalez-Pinto, A.","NA"
"Gottlieb, J. F.","NA"
"Grof, P.","NA"
"Haarman, B. C. M.","NA"
"Harima, H.","NA"
"Hasse-Sousa, M.","NA"
"Henry, C.","NA"
"Hoffding, L.","NA"
"Houenou, J.","NA"
"Imbesi, M.","NA"
"Isometsa, E. T.","NA"
"Ivkovic, M.","NA"
"Janno, S.","NA"
"Johnsen, S.","NA"
"Kapczinski, F.","NA"
"Karakatsoulis, G. N.","NA"
"Kardell, M.","NA"
"Kessing, L. V.","NA"
"Kim, S. J.","NA"
"Konig, B.","NA"
"Kot, T. L.","NA"
"Koval, M.","NA"
"Kunz, M.","NA"
"Lafer, B.","NA"
"Landen, M.","NA"
"Lenger, M.","NA"
"Lewitzka, U.","NA"
"Licht, R. W.","NA"
"Lopez-Jaramillo, C.","NA"
"MacKenzie, A.","NA"
"Madsen, H. O.","NA"
"Madsen, Saka","NA"
"Mahadevan, J.","NA"
"Mahardika, A.","NA"
"Manchia, M.","NA"
"Marsh, W.","NA"
"Martinez-Cengotitabengoa, M.","NA"
"Martiny, K.","NA"
"Mashima, Y.","NA"
"McLoughlin, D. M.","NA"
"Meesters, Y.","NA"
"Melle, I.","NA"
"Meza-Urzua, F.","NA"
"Mok, Y. M.","NA"
"Monteith, S.","NA"
"Moorthy, M.","NA"
"Morken, G.","NA"
"Mosca, E.","NA"
"Mozzhegorov, A. A.","NA"
"Munoz, R.","NA"
"Mythri, S. V.","NA"
"Nacef, F.","NA"
"Nadella, R. K.","NA"
"Nakanotani, T.","NA"
"O'Donovan, C.","NA"
"Omrani, A.","NA"
"Osher, Y.","NA"
"Ouali, U.","NA"
"Pantovic-Stefanovic, M.","NA"
"Pariwatcharakul, P.","NA"
"Petite, J.","NA"
"Pfennig, A.","NA"
"Ruiz, Y. P.","NA"
"Pinna, M.","NA"
"Pompili, M.","NA"
"Porter, R.","NA"
"Quiroz, D.","NA"
"Rabelo-da-Ponte, F. D.","NA"
"Ramesar, R.","NA"
"Rasgon, N.","NA"
"Ratta-Apha, W.","NA"
"Ratzenhofer, M.","NA"
"Redahan, M.","NA"
"Reddy, M. S.","NA"
"Reif, A.","NA"
"Reininghaus, E. Z.","NA"
"Richards, J. G.","NA"
"Ritter, P.","NA"
"Rybakowski, J. K.","NA"
"Sathyaputri, L.","NA"
"Scippa, A. M.","NA"
"Simhandl, C.","NA"
"Smith, D.","NA"
"Smith, J.","NA"
"Stackhouse, P. W., Jr.","NA"
"Stein, D. J.","NA"
"Stilwell, K.","NA"
"Strejilevich, S.","NA"
"Su, K. P.","NA"
"Subramaniam, M.","NA"
"Sulaiman, A. H.","NA"
"Suominen, K.","NA"
"Tanra, A. J.","NA"
"Tatebayashi, Y.","NA"
"Teh, W. L.","NA"
"Tondo, L.","NA"
"Torrent, C.","NA"
"Tuinstra, D.","NA"
"Uchida, T.","NA"
"Vaaler, A. E.","NA"
"Vieta, E.","NA"
"Viswanath, B.","NA"
"Yoldi-Negrete, M.","NA"
"Yalcinkaya, O. K.","NA"
"Young, A. H.","NA"
